1 [SwanLab-INFO]:        Experiment GAN has been registered.
2 [SwanLab-INFO]:        Run data will be saved locally in C:\LearningGit\Learning Project\GAN\logs\run-20240219_172208-e955f761
3 [SwanLab-INFO]:        Experiment_name: GAN_2024-02-19_17-22-08
4 [SwanLab-INFO]:        Run `swanlab watch` to view SwanLab Experiment Dashboard
5 use gpu for training
6 step:0, recons_loss:0.4728681445121765, g_loss:0.7761017084121704, d_loss:1.3897371292114258, real_loss:0.7525793313980103, fake_loss:0.6371577978134155
7 step:50, recons_loss:0.14035943150520325, g_loss:0.5103152394294739, d_loss:1.0771324634552002, real_loss:0.14092683792114258, fake_loss:0.9362056851387024
8 step:100, recons_loss:0.15830519795417786, g_loss:0.5989777445793152, d_loss:1.5265884399414062, real_loss:0.7182483673095703, fake_loss:0.8083401322364807
9 step:150, recons_loss:0.1581437587738037, g_loss:0.6358914971351624, d_loss:1.2816879749298096, real_loss:0.5098799467086792, fake_loss:0.7718080878257751
10 step:200, recons_loss:0.1537184715270996, g_loss:0.8170681595802307, d_loss:1.3875499963760376, real_loss:0.7973008155822754, fake_loss:0.5902491807937622
11 step:234, recons_loss:0.14803819358348846, g_loss:0.6983107328414917, d_loss:1.3534215688705444, real_loss:0.6575080156326294, fake_loss:0.695913553237915
12 step:284, recons_loss:0.15439090132713318, g_loss:0.7434621453285217, d_loss:1.3452420234680176, real_loss:0.6910632848739624, fake_loss:0.6541786789894104
13 step:334, recons_loss:0.15100932121276855, g_loss:0.6225646138191223, d_loss:1.3392479419708252, real_loss:0.5584304928779602, fake_loss:0.7808175086975098
14 step:384, recons_loss:0.15371818840503693, g_loss:0.9082565903663635, d_loss:1.3178393840789795, real_loss:0.7951627969741821, fake_loss:0.5226765871047974
15 step:434, recons_loss:0.15662074089050293, g_loss:0.6772663593292236, d_loss:1.4063842296600342, real_loss:0.6835078001022339, fake_loss:0.7228764295578003
16 step:468, recons_loss:0.15217989683151245, g_loss:0.5966329574584961, d_loss:1.361273169517517, real_loss:0.5438435077667236, fake_loss:0.8174296617507935
17 step:518, recons_loss:0.15634162724018097, g_loss:0.7875844836235046, d_loss:1.3478578329086304, real_loss:0.7294310927391052, fake_loss:0.6184267401695251
18 step:568, recons_loss:0.15723560750484467, g_loss:0.6699467897415161, d_loss:1.3639135360717773, real_loss:0.6293005347251892, fake_loss:0.7346130609512329
19 step:618, recons_loss:0.16704536974430084, g_loss:0.6744173765182495, d_loss:1.371340274810791, real_loss:0.6276673078536987, fake_loss:0.7436730265617371
20 step:668, recons_loss:0.16630114614963531, g_loss:0.8161908388137817, d_loss:1.3344581127166748, real_loss:0.739815354347229, fake_loss:0.5946427583694458
