SwanLab INFO [2024-02-19 22:16:03,359] Experiment GAN has been registered.
SwanLab INFO [2024-02-19 22:16:03,360] Run data will be saved locally in C:\LearningGit\Learning Project\GAN\logs\run-20240219_221602-bbae70a0
SwanLab INFO [2024-02-19 22:16:03,360] Experiment_name: GAN_2024-02-19_22-16-02
SwanLab INFO [2024-02-19 22:16:03,360] Run `swanlab watch` to view SwanLab Experiment Dashboard
SwanLab WARNING [2024-02-19 22:16:22,190] Step 937 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:16:22,192] Step 937 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:16:22,193] Step 937 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:16:40,547] Step 1874 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:16:40,558] Step 1874 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:16:40,560] Step 1874 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:16:58,631] Step 2811 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:16:58,633] Step 2811 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:16:58,635] Step 2811 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:17:16,968] Step 3748 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:17:16,971] Step 3748 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:17:16,972] Step 3748 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:17:35,878] Step 4685 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:17:35,879] Step 4685 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:17:35,880] Step 4685 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:17:54,064] Step 5622 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:17:54,065] Step 5622 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:17:54,067] Step 5622 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:18:12,593] Step 6559 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:18:12,594] Step 6559 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:18:12,595] Step 6559 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:18:30,604] Step 7496 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:18:30,607] Step 7496 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:18:30,608] Step 7496 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:18:49,223] Step 8433 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:18:49,225] Step 8433 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:18:49,226] Step 8433 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:19:07,475] Step 9370 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:19:07,477] Step 9370 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:19:07,477] Step 9370 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:19:25,983] Step 10307 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:19:25,984] Step 10307 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:19:25,986] Step 10307 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:19:44,247] Step 11244 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:19:44,249] Step 11244 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:19:44,250] Step 11244 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:20:02,886] Step 12181 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:20:02,887] Step 12181 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:20:02,888] Step 12181 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:20:21,120] Step 13118 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:20:21,121] Step 13118 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:20:21,122] Step 13118 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:20:39,586] Step 14055 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:20:39,587] Step 14055 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:20:39,589] Step 14055 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:20:58,411] Step 14992 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:20:58,413] Step 14992 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:20:58,417] Step 14992 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:21:17,708] Step 15929 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:21:17,710] Step 15929 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:21:17,712] Step 15929 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:21:36,473] Step 16866 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:21:36,475] Step 16866 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:21:36,477] Step 16866 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:21:55,255] Step 17803 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:21:55,258] Step 17803 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:21:55,260] Step 17803 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:22:14,146] Step 18740 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:22:14,148] Step 18740 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:22:14,149] Step 18740 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:22:32,950] Step 19677 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:22:32,952] Step 19677 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:22:32,953] Step 19677 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:22:51,861] Step 20614 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:22:51,862] Step 20614 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:22:51,863] Step 20614 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:23:10,697] Step 21551 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:23:10,698] Step 21551 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:23:10,699] Step 21551 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:23:29,764] Step 22488 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:23:29,765] Step 22488 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:23:29,766] Step 22488 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:23:48,624] Step 23425 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:23:48,626] Step 23425 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:23:48,630] Step 23425 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:24:07,654] Step 24362 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:24:07,655] Step 24362 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:24:07,657] Step 24362 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:24:26,529] Step 25299 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:24:26,530] Step 25299 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:24:26,532] Step 25299 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:24:45,524] Step 26236 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:24:45,528] Step 26236 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:24:45,530] Step 26236 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:25:04,517] Step 27173 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:25:04,519] Step 27173 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:25:04,520] Step 27173 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:25:23,421] Step 28110 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:25:23,423] Step 28110 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:25:23,426] Step 28110 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:25:42,528] Step 29047 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:25:42,530] Step 29047 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:25:42,532] Step 29047 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:26:01,577] Step 29984 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:26:01,578] Step 29984 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:26:01,579] Step 29984 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:26:20,448] Step 30921 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:26:20,451] Step 30921 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:26:20,452] Step 30921 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:26:39,193] Step 31858 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:26:39,194] Step 31858 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:26:39,195] Step 31858 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:26:58,277] Step 32795 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:26:58,278] Step 32795 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:26:58,280] Step 32795 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:27:16,974] Step 33732 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:27:16,975] Step 33732 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:27:16,976] Step 33732 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:27:36,035] Step 34669 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:27:36,038] Step 34669 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:27:36,039] Step 34669 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:27:54,858] Step 35606 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:27:54,859] Step 35606 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:27:54,860] Step 35606 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:28:13,743] Step 36543 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:28:13,745] Step 36543 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:28:13,746] Step 36543 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:28:32,515] Step 37480 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:28:32,519] Step 37480 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:28:32,521] Step 37480 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:28:51,509] Step 38417 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:28:51,511] Step 38417 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:28:51,512] Step 38417 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:29:10,378] Step 39354 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:29:10,379] Step 39354 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:29:10,381] Step 39354 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:29:29,142] Step 40291 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:29:29,143] Step 40291 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:29:29,144] Step 40291 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:29:48,156] Step 41228 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:29:48,157] Step 41228 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:29:48,159] Step 41228 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:30:06,968] Step 42165 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:30:06,969] Step 42165 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:30:06,971] Step 42165 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:30:25,983] Step 43102 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:30:25,984] Step 43102 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:30:25,985] Step 43102 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:30:44,790] Step 44039 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:30:44,792] Step 44039 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:30:44,794] Step 44039 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:31:03,753] Step 44976 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:31:03,755] Step 44976 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:31:03,756] Step 44976 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:31:22,466] Step 45913 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:31:22,467] Step 45913 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:31:22,469] Step 45913 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:31:41,538] Step 46850 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:31:41,540] Step 46850 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:31:41,541] Step 46850 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:32:00,281] Step 47787 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:32:00,283] Step 47787 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:32:00,284] Step 47787 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:32:19,307] Step 48724 on tag loss already exists, ignored.
