1 [SwanLab-INFO]:        Experiment GAN has been registered.
2 [SwanLab-INFO]:        Run data will be saved locally in C:\LearningGit\Learning Project\GAN\logs\run-20240219_224357-1e8ea08d
3 [SwanLab-INFO]:        Experiment_name: GAN_2024-02-19_22-43-57
4 [SwanLab-INFO]:        Run `swanlab watch` to view SwanLab Experiment Dashboard
5 use gpu for training
6 step:0, recons_loss:0.4760911166667938, g_loss:0.7185195684432983, d_loss:1.3862212896347046, real_loss:0.6946394443511963, fake_loss:0.6915818452835083
7 step:50, recons_loss:0.13943220674991608, g_loss:1.151533842086792, d_loss:1.3904683589935303, real_loss:0.9741252064704895, fake_loss:0.416343092918396
8 step:100, recons_loss:0.1620807945728302, g_loss:0.9707875847816467, d_loss:1.4186687469482422, real_loss:0.9371728301048279, fake_loss:0.4814959168434143
9 step:150, recons_loss:0.15408185124397278, g_loss:0.786490261554718, d_loss:1.345461368560791, real_loss:0.7100733518600464, fake_loss:0.6353880167007446
10 step:200, recons_loss:0.15208706259727478, g_loss:0.6970945596694946, d_loss:1.3970743417739868, real_loss:0.6913142800331116, fake_loss:0.7057600617408752
11 step:250, recons_loss:0.1551417112350464, g_loss:0.8302013874053955, d_loss:1.357100248336792, real_loss:0.7518015503883362, fake_loss:0.6052986979484558
12 step:300, recons_loss:0.15428966283798218, g_loss:0.814124584197998, d_loss:1.2086156606674194, real_loss:0.6122318506240845, fake_loss:0.596383810043335
13 step:350, recons_loss:0.15303368866443634, g_loss:0.5895192623138428, d_loss:1.4037107229232788, real_loss:0.5470726490020752, fake_loss:0.8566380739212036
14 step:400, recons_loss:0.1605951488018036, g_loss:0.8536946773529053, d_loss:1.098697543144226, real_loss:0.492083340883255, fake_loss:0.6066142320632935
15 step:450, recons_loss:0.15450197458267212, g_loss:0.7640292644500732, d_loss:1.3629908561706543, real_loss:0.7210074663162231, fake_loss:0.6419833898544312
16 step:500, recons_loss:0.16078424453735352, g_loss:0.7061493396759033, d_loss:1.3467450141906738, real_loss:0.6318842768669128, fake_loss:0.7148607969284058
17 step:550, recons_loss:0.16373738646507263, g_loss:0.715913712978363, d_loss:1.281136393547058, real_loss:0.5622649788856506, fake_loss:0.7188714146614075
18 step:600, recons_loss:0.16102230548858643, g_loss:1.1998975276947021, d_loss:1.4450308084487915, real_loss:1.0767803192138672, fake_loss:0.3682505190372467
19 step:650, recons_loss:0.1635887771844864, g_loss:0.6478143930435181, d_loss:1.3319646120071411, real_loss:0.5781092643737793, fake_loss:0.7538553476333618
20 step:700, recons_loss:0.17259590327739716, g_loss:0.9634854793548584, d_loss:1.3561007976531982, real_loss:0.8481358885765076, fake_loss:0.5079649686813354
21 step:750, recons_loss:0.16506336629390717, g_loss:0.6329306960105896, d_loss:1.3653624057769775, real_loss:0.5771538019180298, fake_loss:0.788208544254303
22 step:800, recons_loss:0.15277144312858582, g_loss:0.8601582050323486, d_loss:1.3146204948425293, real_loss:0.752906084060669, fake_loss:0.5617144703865051
23 step:850, recons_loss:0.15693336725234985, g_loss:0.6475417017936707, d_loss:1.3698019981384277, real_loss:0.6122986674308777, fake_loss:0.75750333070755
24 step:900, recons_loss:0.16298919916152954, g_loss:0.6446466445922852, d_loss:1.3255884647369385, real_loss:0.5664696097373962, fake_loss:0.7591187953948975
25 step:937, recons_loss:0.1585170328617096, g_loss:0.7801039814949036, d_loss:1.2974333763122559, real_loss:0.668687105178833, fake_loss:0.6287462711334229
26 step:987, recons_loss:0.16824722290039062, g_loss:0.7454594373703003, d_loss:1.328047752380371, real_loss:0.6404048204421997, fake_loss:0.6876429915428162
27 step:1037, recons_loss:0.16293461620807648, g_loss:0.8024070262908936, d_loss:1.2108761072158813, real_loss:0.5840187072753906, fake_loss:0.6268573999404907
28 step:1087, recons_loss:0.1598881632089615, g_loss:1.1114742755889893, d_loss:1.2490946054458618, real_loss:0.808448076248169, fake_loss:0.44064652919769287
29 step:1137, recons_loss:0.1603890359401703, g_loss:0.8257561922073364, d_loss:1.3243088722229004, real_loss:0.7338072061538696, fake_loss:0.5905016660690308
30 step:1187, recons_loss:0.1673075258731842, g_loss:1.0345181226730347, d_loss:1.4073654413223267, real_loss:0.9415485858917236, fake_loss:0.465816855430603
31 step:1237, recons_loss:0.1599879115819931, g_loss:0.9787647724151611, d_loss:1.3589754104614258, real_loss:0.8333396911621094, fake_loss:0.5256357192993164
32 step:1287, recons_loss:0.15741558372974396, g_loss:0.7082567811012268, d_loss:1.3667593002319336, real_loss:0.6558336019515991, fake_loss:0.7109256982803345
33 step:1337, recons_loss:0.16209641098976135, g_loss:0.7420306205749512, d_loss:1.2645562887191772, real_loss:0.5702188014984131, fake_loss:0.6943374872207642
34 step:1387, recons_loss:0.15640154480934143, g_loss:0.7580674290657043, d_loss:1.25895094871521, real_loss:0.6072859764099121, fake_loss:0.6516650319099426
35 step:1437, recons_loss:0.16582004725933075, g_loss:0.682809591293335, d_loss:1.3213623762130737, real_loss:0.6006343364715576, fake_loss:0.7207280397415161
36 step:1487, recons_loss:0.15837453305721283, g_loss:1.1520806550979614, d_loss:1.3560452461242676, real_loss:0.958258867263794, fake_loss:0.39778637886047363
37 step:1537, recons_loss:0.16248998045921326, g_loss:0.7332054376602173, d_loss:1.3727713823318481, real_loss:0.6858339309692383, fake_loss:0.6869374513626099
38 step:1587, recons_loss:0.16468964517116547, g_loss:0.7544656991958618, d_loss:1.2004640102386475, real_loss:0.5093202590942383, fake_loss:0.691143810749054
39 step:1637, recons_loss:0.16195042431354523, g_loss:0.7457278370857239, d_loss:1.242965579032898, real_loss:0.5801376104354858, fake_loss:0.6628279685974121
40 step:1687, recons_loss:0.16194407641887665, g_loss:0.8209683299064636, d_loss:1.360278606414795, real_loss:0.7608320713043213, fake_loss:0.5994465351104736
41 step:1737, recons_loss:0.15550322830677032, g_loss:0.7745218276977539, d_loss:1.3025964498519897, real_loss:0.6606138944625854, fake_loss:0.6419825553894043
42 step:1787, recons_loss:0.16997931897640228, g_loss:0.7363824844360352, d_loss:1.3692715167999268, real_loss:0.6802436113357544, fake_loss:0.6890279054641724
43 step:1837, recons_loss:0.15861284732818604, g_loss:0.8338156938552856, d_loss:1.2949714660644531, real_loss:0.6839784383773804, fake_loss:0.6109930276870728
44 step:1874, recons_loss:0.15255959331989288, g_loss:0.9227373003959656, d_loss:1.2609381675720215, real_loss:0.7272823452949524, fake_loss:0.5336557626724243
45 step:1924, recons_loss:0.16346511244773865, g_loss:0.6662969589233398, d_loss:1.2710864543914795, real_loss:0.5107089281082153, fake_loss:0.7603775858879089
46 step:1974, recons_loss:0.16264547407627106, g_loss:0.7077612280845642, d_loss:1.3524222373962402, real_loss:0.5860015153884888, fake_loss:0.7664207220077515
47 step:2024, recons_loss:0.15029475092887878, g_loss:0.734365701675415, d_loss:1.1884207725524902, real_loss:0.5191465020179749, fake_loss:0.6692742109298706
48 step:2074, recons_loss:0.16882947087287903, g_loss:0.7641894817352295, d_loss:1.2104440927505493, real_loss:0.5555583834648132, fake_loss:0.6548857092857361
49 step:2124, recons_loss:0.15604345500469208, g_loss:0.8858450055122375, d_loss:1.3605427742004395, real_loss:0.7652546167373657, fake_loss:0.595288097858429
50 step:2174, recons_loss:0.1682005077600479, g_loss:0.6826030611991882, d_loss:1.2494971752166748, real_loss:0.5089747905731201, fake_loss:0.7405223250389099
51 step:2224, recons_loss:0.16323696076869965, g_loss:1.0069537162780762, d_loss:1.0632400512695312, real_loss:0.5807046294212341, fake_loss:0.48253536224365234
52 step:2274, recons_loss:0.163961723446846, g_loss:0.7897701263427734, d_loss:1.140700340270996, real_loss:0.4849565625190735, fake_loss:0.6557438373565674
53 step:2324, recons_loss:0.16122901439666748, g_loss:0.7171435952186584, d_loss:1.3605024814605713, real_loss:0.6426252126693726, fake_loss:0.7178773283958435
54 step:2374, recons_loss:0.15996329486370087, g_loss:0.7303412556648254, d_loss:1.239037036895752, real_loss:0.5439026355743408, fake_loss:0.6951344013214111
55 step:2424, recons_loss:0.1611260175704956, g_loss:0.7753397226333618, d_loss:1.4517967700958252, real_loss:0.7685335874557495, fake_loss:0.6832631826400757
56 step:2474, recons_loss:0.16343162953853607, g_loss:1.2102751731872559, d_loss:1.4777148962020874, real_loss:1.071899175643921, fake_loss:0.4058157503604889
57 step:2524, recons_loss:0.15664637088775635, g_loss:1.011483907699585, d_loss:1.2411128282546997, real_loss:0.7540911436080933, fake_loss:0.48702171444892883
58 step:2574, recons_loss:0.156996950507164, g_loss:0.6024118065834045, d_loss:1.5125724077224731, real_loss:0.553476095199585, fake_loss:0.9590963125228882
59 step:2624, recons_loss:0.1605818122625351, g_loss:1.1530712842941284, d_loss:0.9913097023963928, real_loss:0.5702735185623169, fake_loss:0.4210361838340759
60 step:2674, recons_loss:0.16321398317813873, g_loss:0.900115966796875, d_loss:1.0748611688613892, real_loss:0.5023031234741211, fake_loss:0.5725580453872681
61 step:2724, recons_loss:0.16086158156394958, g_loss:0.7216275334358215, d_loss:1.2346662282943726, real_loss:0.5221797227859497, fake_loss:0.7124865055084229
62 step:2774, recons_loss:0.16705158352851868, g_loss:0.8912861347198486, d_loss:1.292388916015625, real_loss:0.7316228747367859, fake_loss:0.5607661008834839
63 step:2811, recons_loss:0.1620074361562729, g_loss:0.7652807235717773, d_loss:1.244161605834961, real_loss:0.5433330535888672, fake_loss:0.7008285522460938
64 step:2861, recons_loss:0.16087564826011658, g_loss:1.1313681602478027, d_loss:1.1415352821350098, real_loss:0.7226864099502563, fake_loss:0.4188488721847534
65 step:2911, recons_loss:0.16314363479614258, g_loss:0.669704020023346, d_loss:1.401286005973816, real_loss:0.5660126209259033, fake_loss:0.8352733850479126
66 step:2961, recons_loss:0.15354712307453156, g_loss:0.959031879901886, d_loss:1.217698097229004, real_loss:0.7104713916778564, fake_loss:0.5072267651557922
67 step:3011, recons_loss:0.16516418755054474, g_loss:0.9419311285018921, d_loss:1.2385337352752686, real_loss:0.7262845039367676, fake_loss:0.5122492909431458
68 step:3061, recons_loss:0.14695090055465698, g_loss:1.1235367059707642, d_loss:1.2738633155822754, real_loss:0.7708200216293335, fake_loss:0.5030432939529419
69 step:3111, recons_loss:0.15355464816093445, g_loss:0.7951034307479858, d_loss:1.2548363208770752, real_loss:0.5708630681037903, fake_loss:0.6839731931686401
70 step:3161, recons_loss:0.1538316309452057, g_loss:0.6658472418785095, d_loss:1.283123254776001, real_loss:0.42924290895462036, fake_loss:0.8538802862167358
71 step:3211, recons_loss:0.17052821815013885, g_loss:0.8008851408958435, d_loss:1.2905890941619873, real_loss:0.6196058392524719, fake_loss:0.6709831953048706
72 step:3261, recons_loss:0.1642703413963318, g_loss:1.0989279747009277, d_loss:1.175050139427185, real_loss:0.7380087375640869, fake_loss:0.43704140186309814
73 step:3311, recons_loss:0.15425458550453186, g_loss:0.9468360543251038, d_loss:1.1008548736572266, real_loss:0.5527938604354858, fake_loss:0.5480610728263855
74 step:3361, recons_loss:0.1610230952501297, g_loss:1.0495707988739014, d_loss:0.952732264995575, real_loss:0.5034719705581665, fake_loss:0.44926029443740845
75 step:3411, recons_loss:0.16618768870830536, g_loss:0.9464513063430786, d_loss:1.127373456954956, real_loss:0.5859126448631287, fake_loss:0.5414608120918274
76 step:3461, recons_loss:0.16810289025306702, g_loss:0.8128711581230164, d_loss:1.204138994216919, real_loss:0.4481961131095886, fake_loss:0.7559428215026855
77 step:3511, recons_loss:0.1632528156042099, g_loss:1.2158526182174683, d_loss:1.0920219421386719, real_loss:0.722620964050293, fake_loss:0.36940091848373413
78 step:3561, recons_loss:0.16140973567962646, g_loss:0.9685231447219849, d_loss:1.027939796447754, real_loss:0.4461979269981384, fake_loss:0.5817419290542603
79 step:3611, recons_loss:0.15921376645565033, g_loss:1.3976527452468872, d_loss:1.2826846837997437, real_loss:0.9419799447059631, fake_loss:0.3407047390937805
80 step:3661, recons_loss:0.16392803192138672, g_loss:1.0296118259429932, d_loss:0.9828824996948242, real_loss:0.432489275932312, fake_loss:0.5503932237625122
81 step:3711, recons_loss:0.1640809029340744, g_loss:0.9193269610404968, d_loss:1.1165904998779297, real_loss:0.5292922854423523, fake_loss:0.5872981548309326
82 step:3748, recons_loss:0.16062134504318237, g_loss:1.1659303903579712, d_loss:1.1534314155578613, real_loss:0.7341474294662476, fake_loss:0.41928404569625854
83 step:3798, recons_loss:0.1588781625032425, g_loss:0.8011218905448914, d_loss:1.069929599761963, real_loss:0.4331859052181244, fake_loss:0.6367437243461609
84 step:3848, recons_loss:0.15729038417339325, g_loss:0.6911924481391907, d_loss:1.132519006729126, real_loss:0.3600870966911316, fake_loss:0.7724318504333496
85 step:3898, recons_loss:0.15880364179611206, g_loss:0.8831474781036377, d_loss:1.060803771018982, real_loss:0.46861591935157776, fake_loss:0.5921878814697266
86 step:3948, recons_loss:0.16781920194625854, g_loss:1.553755760192871, d_loss:1.0915471315383911, real_loss:0.8127621412277222, fake_loss:0.27878502011299133
87 step:3998, recons_loss:0.15814487636089325, g_loss:1.0429935455322266, d_loss:1.0725884437561035, real_loss:0.5811655521392822, fake_loss:0.4914228916168213
88 step:4048, recons_loss:0.16248537600040436, g_loss:0.5175262093544006, d_loss:1.496924638748169, real_loss:0.4456588625907898, fake_loss:1.0512657165527344
89 step:4098, recons_loss:0.16756753623485565, g_loss:0.9512745141983032, d_loss:1.1837495565414429, real_loss:0.6455305218696594, fake_loss:0.5382190346717834
90 step:4148, recons_loss:0.16072648763656616, g_loss:0.9119450449943542, d_loss:1.164050579071045, real_loss:0.5949737429618835, fake_loss:0.5690767765045166
