1 [SwanLab-INFO]:        Experiment GAN has been registered.
2 [SwanLab-INFO]:        Run data will be saved locally in C:\LearningGit\Learning Project\GAN\logs\run-20240221_124726-0faa6e9b
3 [SwanLab-INFO]:        Experiment_name: GAN_2024-02-21_12-47-26
4 [SwanLab-INFO]:        Run `swanlab watch` to view SwanLab Experiment Dashboard
5 use gpu for training
6 step:0, recons_loss:0.4739837944507599, g_loss:0.8033820390701294, d_loss:1.3933336734771729, real_loss:0.7798265218734741, fake_loss:0.6135071516036987
7 step:50, recons_loss:0.14968544244766235, g_loss:1.2045074701309204, d_loss:1.3326082229614258, real_loss:0.9416522979736328, fake_loss:0.3909558951854706
8 step:100, recons_loss:0.1587788313627243, g_loss:0.7806306481361389, d_loss:1.4408421516418457, real_loss:0.8205137252807617, fake_loss:0.6203283667564392
9 step:150, recons_loss:0.1628306657075882, g_loss:0.7224632501602173, d_loss:1.4338562488555908, real_loss:0.7600277662277222, fake_loss:0.6738284230232239
10 step:200, recons_loss:0.16304169595241547, g_loss:0.7815667986869812, d_loss:1.300931692123413, real_loss:0.678813636302948, fake_loss:0.6221181154251099
11 step:234, recons_loss:0.16024519503116608, g_loss:0.9753183722496033, d_loss:1.3024274110794067, real_loss:0.819577157497406, fake_loss:0.4828502833843231
12 step:284, recons_loss:0.1513790339231491, g_loss:0.8378230333328247, d_loss:1.1882301568984985, real_loss:0.6131364107131958, fake_loss:0.5750937461853027
13 step:334, recons_loss:0.1524522453546524, g_loss:0.676911473274231, d_loss:1.3230692148208618, real_loss:0.5832822322845459, fake_loss:0.7397869825363159
14 step:384, recons_loss:0.16457264125347137, g_loss:0.611458420753479, d_loss:1.3320038318634033, real_loss:0.5283214449882507, fake_loss:0.8036824464797974
15 step:434, recons_loss:0.15700554847717285, g_loss:0.7750962972640991, d_loss:1.3416751623153687, real_loss:0.7142612934112549, fake_loss:0.6274138689041138
16 step:468, recons_loss:0.1665603071451187, g_loss:0.7047580480575562, d_loss:1.3247202634811401, real_loss:0.6220400333404541, fake_loss:0.702680230140686
17 step:518, recons_loss:0.15805873274803162, g_loss:0.6968281269073486, d_loss:1.3537867069244385, real_loss:0.6544569730758667, fake_loss:0.699329674243927
18 step:568, recons_loss:0.16099292039871216, g_loss:0.7886026501655579, d_loss:1.3627887964248657, real_loss:0.7452216148376465, fake_loss:0.6175671815872192
19 step:618, recons_loss:0.1564503312110901, g_loss:0.679201602935791, d_loss:1.2743148803710938, real_loss:0.5553321838378906, fake_loss:0.7189827561378479
20 step:668, recons_loss:0.1611054688692093, g_loss:0.8132103085517883, d_loss:1.3730933666229248, real_loss:0.7662960290908813, fake_loss:0.6067972779273987
21 step:702, recons_loss:0.1578473448753357, g_loss:0.8079413175582886, d_loss:1.3779131174087524, real_loss:0.751590371131897, fake_loss:0.6263227462768555
22 step:752, recons_loss:0.15232086181640625, g_loss:0.7058603167533875, d_loss:1.3801538944244385, real_loss:0.6867659091949463, fake_loss:0.693388044834137
23 step:802, recons_loss:0.1644313782453537, g_loss:0.7309038043022156, d_loss:1.2848538160324097, real_loss:0.616167426109314, fake_loss:0.6686863899230957
24 step:852, recons_loss:0.14551310241222382, g_loss:0.6881701350212097, d_loss:1.366154432296753, real_loss:0.6553728580474854, fake_loss:0.7107815742492676
25 step:902, recons_loss:0.15285775065422058, g_loss:0.6653587818145752, d_loss:1.3938255310058594, real_loss:0.6563324928283691, fake_loss:0.7374929785728455
26 step:936, recons_loss:0.16464528441429138, g_loss:0.5440219640731812, d_loss:1.3762834072113037, real_loss:0.48492011427879333, fake_loss:0.891363263130188
27 step:986, recons_loss:0.1515171229839325, g_loss:1.0415796041488647, d_loss:1.4032642841339111, real_loss:0.9248414635658264, fake_loss:0.4784228801727295
28 step:1036, recons_loss:0.1603916436433792, g_loss:0.7481484413146973, d_loss:1.3559794425964355, real_loss:0.7073097229003906, fake_loss:0.6486696600914001
29 step:1086, recons_loss:0.16305233538150787, g_loss:0.854904294013977, d_loss:1.339585304260254, real_loss:0.7730270028114319, fake_loss:0.566558301448822
30 step:1136, recons_loss:0.16553843021392822, g_loss:0.7920647859573364, d_loss:1.393504023551941, real_loss:0.7719214558601379, fake_loss:0.621582567691803
31 step:1170, recons_loss:0.16114723682403564, g_loss:0.6671469807624817, d_loss:1.3756577968597412, real_loss:0.6452210545539856, fake_loss:0.7304366827011108
32 step:1220, recons_loss:0.1652650088071823, g_loss:0.5582939386367798, d_loss:1.3985846042633057, real_loss:0.5342461466789246, fake_loss:0.8643383979797363
33 step:1270, recons_loss:0.15990231931209564, g_loss:0.7608854174613953, d_loss:1.3675587177276611, real_loss:0.7239488363265991, fake_loss:0.643609881401062
34 step:1320, recons_loss:0.15569305419921875, g_loss:0.7807863354682922, d_loss:1.2286529541015625, real_loss:0.6001774072647095, fake_loss:0.6284756064414978
35 step:1370, recons_loss:0.15677522122859955, g_loss:0.7956253886222839, d_loss:1.324465274810791, real_loss:0.7049933671951294, fake_loss:0.6194718480110168
36 step:1404, recons_loss:0.17150932550430298, g_loss:0.8759578466415405, d_loss:1.3504910469055176, real_loss:0.7723947167396545, fake_loss:0.5780962705612183
37 step:1454, recons_loss:0.17377950251102448, g_loss:0.7189109921455383, d_loss:1.309969425201416, real_loss:0.6203721761703491, fake_loss:0.6895973086357117
38 step:1504, recons_loss:0.16201210021972656, g_loss:0.654676616191864, d_loss:1.3752684593200684, real_loss:0.5888749957084656, fake_loss:0.7863934636116028
39 step:1554, recons_loss:0.16585078835487366, g_loss:0.5787808895111084, d_loss:1.4479234218597412, real_loss:0.5917474627494812, fake_loss:0.85617595911026
40 step:1604, recons_loss:0.15835796296596527, g_loss:0.765536367893219, d_loss:1.3556139469146729, real_loss:0.7131646871566772, fake_loss:0.6424492597579956
41 step:1638, recons_loss:0.16175824403762817, g_loss:1.1159323453903198, d_loss:1.3287618160247803, real_loss:0.9100952744483948, fake_loss:0.4186665117740631
42 step:1688, recons_loss:0.15974128246307373, g_loss:0.7067329287528992, d_loss:1.3814774751663208, real_loss:0.6834682822227478, fake_loss:0.698009192943573
43 step:1738, recons_loss:0.15734387934207916, g_loss:0.6678407192230225, d_loss:1.4328187704086304, real_loss:0.6991068124771118, fake_loss:0.7337119579315186
44 step:1788, recons_loss:0.1574794054031372, g_loss:0.7101922035217285, d_loss:1.2946453094482422, real_loss:0.58265221118927, fake_loss:0.7119931578636169
45 step:1838, recons_loss:0.17020848393440247, g_loss:0.7403120994567871, d_loss:1.3708182573318481, real_loss:0.7121257781982422, fake_loss:0.658692479133606
46 step:1872, recons_loss:0.16613514721393585, g_loss:0.7447327375411987, d_loss:1.4065210819244385, real_loss:0.7524791955947876, fake_loss:0.6540418267250061
47 step:1922, recons_loss:0.1679873764514923, g_loss:0.6643369197845459, d_loss:1.363256812095642, real_loss:0.593490481376648, fake_loss:0.7697663307189941
48 step:1972, recons_loss:0.15756431221961975, g_loss:0.6695354580879211, d_loss:1.410346269607544, real_loss:0.66464763879776, fake_loss:0.7456986308097839
49 step:2022, recons_loss:0.1663927286863327, g_loss:0.6128084659576416, d_loss:1.573515772819519, real_loss:0.7320215702056885, fake_loss:0.8414942026138306
50 step:2072, recons_loss:0.15394346415996552, g_loss:0.7107409834861755, d_loss:1.3800740242004395, real_loss:0.6609437465667725, fake_loss:0.7191303372383118
51 step:2106, recons_loss:0.17163781821727753, g_loss:0.9740688800811768, d_loss:1.4557645320892334, real_loss:0.9605495929718018, fake_loss:0.4952149987220764
52 step:2156, recons_loss:0.16120830178260803, g_loss:0.9489163160324097, d_loss:1.3394358158111572, real_loss:0.8186936974525452, fake_loss:0.5207421183586121
53 step:2206, recons_loss:0.16042210161685944, g_loss:0.5645356774330139, d_loss:1.4488284587860107, real_loss:0.5548557043075562, fake_loss:0.8939727544784546
