1 [SwanLab-INFO]:        Experiment GAN has been registered.
2 [SwanLab-INFO]:        Run data will be saved locally in C:\LearningGit\Learning Project\GAN\logs\run-20240221_133301-be8f1018
3 [SwanLab-INFO]:        Experiment_name: GAN_2024-02-21_13-33-01
4 [SwanLab-INFO]:        Run `swanlab watch` to view SwanLab Experiment Dashboard
5 use gpu for training
6 step:0, recons_loss:0.4740053117275238, g_loss:0.805087685585022, d_loss:1.3938359022140503, real_loss:0.7817701101303101, fake_loss:0.6120657920837402
7 step:50, recons_loss:0.15315720438957214, g_loss:0.3583894670009613, d_loss:1.6167869567871094, real_loss:0.13416104018688202, fake_loss:1.482625961303711
8 step:100, recons_loss:0.17216619849205017, g_loss:1.2548532485961914, d_loss:1.566345453262329, real_loss:1.1656880378723145, fake_loss:0.40065741539001465
9 step:150, recons_loss:0.14647677540779114, g_loss:0.7317851781845093, d_loss:1.0791091918945312, real_loss:0.3971240520477295, fake_loss:0.6819851398468018
10 step:200, recons_loss:0.14767910540103912, g_loss:1.080128788948059, d_loss:1.065821647644043, real_loss:0.6409057974815369, fake_loss:0.42491579055786133
11 step:250, recons_loss:0.15309008955955505, g_loss:0.5794485211372375, d_loss:1.1493258476257324, real_loss:0.3031628131866455, fake_loss:0.8461630940437317
12 step:300, recons_loss:0.16819272935390472, g_loss:1.2484914064407349, d_loss:0.7965705990791321, real_loss:0.3680049180984497, fake_loss:0.4285656809806824
13 step:350, recons_loss:0.15510238707065582, g_loss:1.1504520177841187, d_loss:0.787523627281189, real_loss:0.3954928517341614, fake_loss:0.3920307755470276
14 step:400, recons_loss:0.1720878928899765, g_loss:0.8703853487968445, d_loss:1.3943496942520142, real_loss:0.5754162073135376, fake_loss:0.8189334869384766
15 step:450, recons_loss:0.167593851685524, g_loss:0.9770908355712891, d_loss:1.1164002418518066, real_loss:0.6115015745162964, fake_loss:0.5048986077308655
16 step:500, recons_loss:0.17027196288108826, g_loss:0.8937816619873047, d_loss:1.2389414310455322, real_loss:0.6189132928848267, fake_loss:0.6200281381607056
17 step:550, recons_loss:0.16515006124973297, g_loss:0.8758060336112976, d_loss:1.0329701900482178, real_loss:0.4499567151069641, fake_loss:0.5830134749412537
18 step:600, recons_loss:0.16933031380176544, g_loss:0.8722288012504578, d_loss:1.0337331295013428, real_loss:0.43243640661239624, fake_loss:0.6012967824935913
19 step:650, recons_loss:0.1738126277923584, g_loss:0.7610507607460022, d_loss:1.1021182537078857, real_loss:0.4223278760910034, fake_loss:0.6797903776168823
20 step:700, recons_loss:0.15737426280975342, g_loss:0.7958232164382935, d_loss:1.0935739278793335, real_loss:0.24570581316947937, fake_loss:0.8478680849075317
21 step:750, recons_loss:0.15813693404197693, g_loss:1.1956974267959595, d_loss:1.1988379955291748, real_loss:0.8137908577919006, fake_loss:0.3850470781326294
22 step:800, recons_loss:0.16019898653030396, g_loss:1.0001403093338013, d_loss:1.4372557401657104, real_loss:0.6554442644119263, fake_loss:0.7818114757537842
23 step:850, recons_loss:0.17517000436782837, g_loss:1.321974515914917, d_loss:0.7970428466796875, real_loss:0.41411957144737244, fake_loss:0.3829232454299927
24 step:900, recons_loss:0.15787263214588165, g_loss:1.1154420375823975, d_loss:1.2153337001800537, real_loss:0.7053415775299072, fake_loss:0.5099921226501465
25 step:937, recons_loss:0.1460328996181488, g_loss:0.8396754860877991, d_loss:1.1627960205078125, real_loss:0.4735039472579956, fake_loss:0.6892920732498169
26 step:987, recons_loss:0.16398312151432037, g_loss:1.043731451034546, d_loss:1.2030894756317139, real_loss:0.44155353307724, fake_loss:0.7615360021591187
27 step:1037, recons_loss:0.15936337411403656, g_loss:0.9977023601531982, d_loss:1.1467673778533936, real_loss:0.5956655740737915, fake_loss:0.551101803779602
28 step:1087, recons_loss:0.14835073053836823, g_loss:1.1018954515457153, d_loss:1.0525968074798584, real_loss:0.6170933246612549, fake_loss:0.43550342321395874
29 step:1137, recons_loss:0.16467370092868805, g_loss:1.3500313758850098, d_loss:0.8989124298095703, real_loss:0.5513514876365662, fake_loss:0.34756094217300415
30 step:1187, recons_loss:0.1705160290002823, g_loss:1.242997407913208, d_loss:0.9526091814041138, real_loss:0.5480279326438904, fake_loss:0.4045812487602234
31 step:1237, recons_loss:0.16089287400245667, g_loss:1.4686444997787476, d_loss:1.1794261932373047, real_loss:0.7474734783172607, fake_loss:0.43195271492004395
32 step:1287, recons_loss:0.17294928431510925, g_loss:1.0080509185791016, d_loss:0.8818069696426392, real_loss:0.27382925152778625, fake_loss:0.6079777479171753
33 step:1337, recons_loss:0.16682596504688263, g_loss:1.328766107559204, d_loss:0.828082263469696, real_loss:0.4852486848831177, fake_loss:0.34283357858657837
34 step:1387, recons_loss:0.1642143428325653, g_loss:1.0266737937927246, d_loss:1.0559642314910889, real_loss:0.4152739346027374, fake_loss:0.6406903266906738
35 step:1437, recons_loss:0.1673816293478012, g_loss:1.5729426145553589, d_loss:0.7408270835876465, real_loss:0.44155821204185486, fake_loss:0.299268901348114
36 step:1487, recons_loss:0.16160878539085388, g_loss:0.9868068099021912, d_loss:1.0650744438171387, real_loss:0.5312023162841797, fake_loss:0.5338721871376038
37 step:1537, recons_loss:0.17703118920326233, g_loss:0.9078605771064758, d_loss:1.1137974262237549, real_loss:0.5002055764198303, fake_loss:0.6135918498039246
38 step:1587, recons_loss:0.15386711061000824, g_loss:1.0369795560836792, d_loss:0.7271221876144409, real_loss:0.18259796500205994, fake_loss:0.5445241928100586
39 step:1637, recons_loss:0.17161381244659424, g_loss:1.6464288234710693, d_loss:1.0218180418014526, real_loss:0.7947836518287659, fake_loss:0.22703438997268677
40 step:1687, recons_loss:0.16076037287712097, g_loss:0.8579831123352051, d_loss:0.9301300644874573, real_loss:0.25933462381362915, fake_loss:0.6707954406738281
41 step:1737, recons_loss:0.1753569394350052, g_loss:1.8703365325927734, d_loss:0.8802835941314697, real_loss:0.686340868473053, fake_loss:0.19394271075725555
42 step:1787, recons_loss:0.15628981590270996, g_loss:0.8596785664558411, d_loss:1.3117492198944092, real_loss:0.6265710592269897, fake_loss:0.6851781010627747
43 step:1837, recons_loss:0.170501708984375, g_loss:1.2290053367614746, d_loss:1.1199979782104492, real_loss:0.7276991605758667, fake_loss:0.3922988772392273
44 step:1874, recons_loss:0.16395634412765503, g_loss:1.2470656633377075, d_loss:1.0860234498977661, real_loss:0.701825737953186, fake_loss:0.38419774174690247
45 step:1924, recons_loss:0.17398615181446075, g_loss:0.7069308757781982, d_loss:1.2719547748565674, real_loss:0.5288622975349426, fake_loss:0.7430925369262695
46 step:1974, recons_loss:0.16195076704025269, g_loss:0.7487652897834778, d_loss:1.1857786178588867, real_loss:0.4241216778755188, fake_loss:0.7616568803787231
47 step:2024, recons_loss:0.16127535700798035, g_loss:1.0661346912384033, d_loss:1.0333607196807861, real_loss:0.49131953716278076, fake_loss:0.5420411229133606
48 step:2074, recons_loss:0.16413134336471558, g_loss:0.8893694281578064, d_loss:1.1277954578399658, real_loss:0.44626545906066895, fake_loss:0.6815299987792969
49 step:2124, recons_loss:0.16232334077358246, g_loss:1.0002423524856567, d_loss:0.9469172954559326, real_loss:0.37974193692207336, fake_loss:0.5671753287315369
50 step:2174, recons_loss:0.168267622590065, g_loss:1.110806941986084, d_loss:0.7946677803993225, real_loss:0.280523419380188, fake_loss:0.5141443610191345
51 step:2224, recons_loss:0.16808617115020752, g_loss:1.3914425373077393, d_loss:0.758750855922699, real_loss:0.3824354410171509, fake_loss:0.3763154149055481
52 step:2274, recons_loss:0.17179636657238007, g_loss:1.282537579536438, d_loss:1.0708059072494507, real_loss:0.7132394909858704, fake_loss:0.3575664162635803
53 step:2324, recons_loss:0.16487646102905273, g_loss:1.4867494106292725, d_loss:1.0464608669281006, real_loss:0.7694258689880371, fake_loss:0.27703505754470825
54 step:2374, recons_loss:0.17466697096824646, g_loss:0.9653845429420471, d_loss:0.9012418389320374, real_loss:0.30987149477005005, fake_loss:0.5913703441619873
55 step:2424, recons_loss:0.16614539921283722, g_loss:1.1388063430786133, d_loss:1.353041410446167, real_loss:0.6717714071273804, fake_loss:0.6812700629234314
56 step:2474, recons_loss:0.16443264484405518, g_loss:0.9871181845664978, d_loss:1.0180988311767578, real_loss:0.4469977617263794, fake_loss:0.5711010098457336
57 step:2524, recons_loss:0.15158945322036743, g_loss:1.2264039516448975, d_loss:1.0157418251037598, real_loss:0.6467989683151245, fake_loss:0.36894288659095764
58 step:2574, recons_loss:0.16319404542446136, g_loss:1.26457679271698, d_loss:0.9673286080360413, real_loss:0.564152717590332, fake_loss:0.40317589044570923
59 step:2624, recons_loss:0.16494128108024597, g_loss:1.457509160041809, d_loss:1.198691964149475, real_loss:0.7201794981956482, fake_loss:0.4785124957561493
60 step:2674, recons_loss:0.16578972339630127, g_loss:1.2983205318450928, d_loss:0.7664824724197388, real_loss:0.24806883931159973, fake_loss:0.5184136629104614
61 step:2724, recons_loss:0.16615046560764313, g_loss:1.3540443181991577, d_loss:0.8626587390899658, real_loss:0.46837273240089417, fake_loss:0.39428597688674927
62 step:2774, recons_loss:0.17214371263980865, g_loss:1.0537590980529785, d_loss:1.0558511018753052, real_loss:0.41476893424987793, fake_loss:0.6410821676254272
63 step:2811, recons_loss:0.16713230311870575, g_loss:1.1833326816558838, d_loss:0.8334680795669556, real_loss:0.4111984372138977, fake_loss:0.42226964235305786
64 step:2861, recons_loss:0.1658714860677719, g_loss:1.27862548828125, d_loss:0.9029198884963989, real_loss:0.45185619592666626, fake_loss:0.45106372237205505
65 step:2911, recons_loss:0.15757782757282257, g_loss:1.8138694763183594, d_loss:1.1155611276626587, real_loss:0.9282728433609009, fake_loss:0.18728825449943542
66 step:2961, recons_loss:0.17100030183792114, g_loss:1.0946110486984253, d_loss:0.8612619638442993, real_loss:0.33504518866539, fake_loss:0.5262167453765869
67 step:3011, recons_loss:0.16614648699760437, g_loss:1.1539942026138306, d_loss:0.8139297962188721, real_loss:0.38176172971725464, fake_loss:0.43216806650161743
68 step:3061, recons_loss:0.1711287498474121, g_loss:1.2852742671966553, d_loss:1.0286146402359009, real_loss:0.6031674742698669, fake_loss:0.4254471957683563
69 step:3111, recons_loss:0.1650293469429016, g_loss:1.1604481935501099, d_loss:0.799848735332489, real_loss:0.2812461256980896, fake_loss:0.5186026096343994
70 step:3161, recons_loss:0.16564197838306427, g_loss:2.27553129196167, d_loss:1.1104792356491089, real_loss:0.9835006594657898, fake_loss:0.12697860598564148
71 step:3211, recons_loss:0.17166826128959656, g_loss:1.6758884191513062, d_loss:1.0219367742538452, real_loss:0.7878937721252441, fake_loss:0.2340429723262787
72 step:3261, recons_loss:0.17519019544124603, g_loss:1.22437584400177, d_loss:0.817699670791626, real_loss:0.378934383392334, fake_loss:0.4387653172016144
73 step:3311, recons_loss:0.16553592681884766, g_loss:1.5283448696136475, d_loss:1.0791218280792236, real_loss:0.6819906234741211, fake_loss:0.39713117480278015
74 step:3361, recons_loss:0.17621761560440063, g_loss:1.3552119731903076, d_loss:0.7031508684158325, real_loss:0.32463350892066956, fake_loss:0.3785173296928406
75 step:3411, recons_loss:0.17368827760219574, g_loss:1.1360162496566772, d_loss:0.8470242619514465, real_loss:0.3192691206932068, fake_loss:0.5277551412582397
76 step:3461, recons_loss:0.16710233688354492, g_loss:1.2491910457611084, d_loss:0.7236509323120117, real_loss:0.30093640089035034, fake_loss:0.4227145314216614
77 step:3511, recons_loss:0.16693076491355896, g_loss:1.184647560119629, d_loss:0.8880425095558167, real_loss:0.4668053984642029, fake_loss:0.42123711109161377
78 step:3561, recons_loss:0.17200978100299835, g_loss:1.2312618494033813, d_loss:1.0759143829345703, real_loss:0.710066556930542, fake_loss:0.3658478856086731
79 step:3611, recons_loss:0.15704604983329773, g_loss:1.0293301343917847, d_loss:0.9314248561859131, real_loss:0.3381810188293457, fake_loss:0.5932438373565674
80 step:3661, recons_loss:0.17857706546783447, g_loss:1.301647663116455, d_loss:0.9893137216567993, real_loss:0.6519732475280762, fake_loss:0.33734047412872314
