1 [SwanLab-INFO]:        Experiment GAN has been registered.
2 [SwanLab-INFO]:        Run data will be saved locally in C:\LearningGit\Learning Project\GAN\logs\run-20240221_172140-cc096f50
3 [SwanLab-INFO]:        Experiment_name: GAN_2024-02-21_17-21-40
4 [SwanLab-INFO]:        Run `swanlab watch` to view SwanLab Experiment Dashboard
5 use gpu for training
6 step:0, recons_loss:0.6928392052650452, g_loss:0.7481929063796997, d_loss:1.3883299827575684, real_loss:0.6747789978981018, fake_loss:0.7135509252548218
7 step:50, recons_loss:0.2630380392074585, g_loss:0.013152849860489368, d_loss:6.386123004631372e-06, real_loss:5.438036168925464e-06, fake_loss:9.48086835705908e-07
8 step:100, recons_loss:0.19598600268363953, g_loss:0.009799342602491379, d_loss:4.0885134922064026e-07, real_loss:3.669418333629437e-07, fake_loss:4.190952296312389e-08
9 step:150, recons_loss:0.15052765607833862, g_loss:0.007526665925979614, d_loss:4.7497536570517696e-07, real_loss:1.9185250721420744e-07, fake_loss:2.831228584909695e-07
10 step:200, recons_loss:0.12023411691188812, g_loss:0.00601367000490427, d_loss:2.07872585633595e-06, real_loss:1.1455279746996894e-07, fake_loss:1.9641729522845708e-06
11 step:250, recons_loss:0.15641814470291138, g_loss:0.007826085202395916, d_loss:1.832858833950013e-05, real_loss:1.3150416634744033e-05, fake_loss:5.178172159503447e-06
12 step:300, recons_loss:0.12920431792736053, g_loss:0.006460228003561497, d_loss:1.5646223516796454e-07, real_loss:1.4435504169796332e-07, fake_loss:1.210719524635806e-08
13 step:350, recons_loss:0.11709906160831451, g_loss:0.0058549540117383, d_loss:4.749745841081676e-08, real_loss:4.6566135836201283e-08, fake_loss:9.31322685637781e-10
14 step:400, recons_loss:0.11905086040496826, g_loss:0.005952778737992048, d_loss:4.7404336100953515e-07, real_loss:2.384186927884002e-07, fake_loss:2.3562466822113493e-07
15 step:450, recons_loss:0.12533965706825256, g_loss:0.006266992073506117, d_loss:6.705523958316917e-08, real_loss:5.7742010284300704e-08, fake_loss:9.313226634333205e-09
16 step:468, recons_loss:0.1230744868516922, g_loss:0.006153724621981382, d_loss:2.0023472302455048e-07, real_loss:2.0023472302455048e-07, fake_loss:0.0
17 step:518, recons_loss:0.12310462445020676, g_loss:0.0061553106643259525, d_loss:2.8312211952652433e-07, real_loss:2.0395970068420866e-07, fake_loss:7.916243305317039e-08
18 step:568, recons_loss:0.11931641399860382, g_loss:0.005965915974229574, d_loss:3.399328534214874e-07, real_loss:2.4493795081070857e-07, fake_loss:9.499491682163352e-08
19 step:618, recons_loss:0.11928275972604752, g_loss:0.005965979304164648, d_loss:2.8442714210541453e-06, real_loss:1.003036231850274e-06, fake_loss:1.8412351892038714e-06
20 step:668, recons_loss:0.12037910521030426, g_loss:0.006018957123160362, d_loss:7.636846532932395e-08, real_loss:7.4505820180093e-08, fake_loss:1.862645371275562e-09
21 step:718, recons_loss:0.12233401834964752, g_loss:0.006117577198892832, d_loss:2.068469029836706e-06, real_loss:1.1920940323761897e-06, fake_loss:8.763749406170973e-07
22 step:768, recons_loss:0.12278758734464645, g_loss:0.006139968987554312, d_loss:1.8496084521757439e-06, real_loss:1.2600810350704705e-06, fake_loss:5.895274171052733e-07
23 step:818, recons_loss:0.11881911754608154, g_loss:0.005940965376794338, d_loss:6.98492073070156e-08, real_loss:6.053598156086082e-08, fake_loss:9.313227522511625e-09
24 step:868, recons_loss:0.11927992105484009, g_loss:0.005964050069451332, d_loss:2.4773186169113615e-07, real_loss:1.937151523634384e-07, fake_loss:5.401671998583879e-08
